Gender	PrimaryInterest	Hobby	IncomeLevel	NearSchool	WorkingStudent	InternetAccess	MotherEducation	FatherEducation	TrackStrand	GwaRange	StudyHours	SchoolType	Extracurricular	FavoriteSubject	AcademicAwards	Openness1	Openness2	Conscientiousness1	Conscientiousness2	SelfEfficacy1	SelfEfficacy2	ChosenMajor
Male	Undecided		Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Strong and consistent access	College Graduate	College Undergraduate	GAS	80 - 84	Less than 3 hours	Private	Academic Clubs	Undecided	No	2	4	2	4	3	2	Bachelor of Science in Criminology
Female	Arts / Design / Creative Media	Drawing / Design	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Limited access	Elementary	College Undergraduate	Arts & Design	90 - 94	11-15 hours	Public		Arts	Yes	4	4	4	5	5	4	Bachelor of Performing Arts
Female	Education / Teaching	Social activities / Volunteering	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	No access	Elementary	College Undergraduate	HUMSS	95 - 100	More than 15 hours	Technical / Vocational High School	Sports	English / Communication	Yes	5	5	5	5	5	5	Bachelor of Elementary Education
Male	Technology / Computing	Gaming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Average/intermittent access	High School	Elementary	STEM	85 - 89	6-10 hours	Public		Science	No	4	4	3	2	2	4	Bachelor of Science in Electrical Engineering
Female	Social Sciences / Psychology	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Strong and consistent access	High School	College Graduate	HUMSS	95 - 100	11-15 hours	Technical / Vocational High School	Volunteer Work	Social Science	Yes	4	4	5	5	4	5	Bachelor of Science in Social Work
Male	Education / Teaching	Writing / Reading	Middle income (₱43,828 -  ₱76,667 per month)	Yes	Yes	Limited access	High School	College Graduate	HUMSS	80 - 84	3-5 hours	Private	Leadership / Student Government	Social Science	No	2	3	3	4	2	2	Bachelor of Secondary Education major in English
Female	Arts / Design / Creative Media	Music	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Average/intermittent access	College Graduate	College Graduate	Arts & Design	85 - 89	11-15 hours	Private	Arts / Music	Arts	No	2	2	4	4	3	4	Bachelor of Arts in Psychology
Female	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Average/intermittent access	College Undergraduate	High School	ABM	90 - 94	3-5 hours	Technical / Vocational High School	Competitions	Business / Accounting	Yes	5	4	4	4	5	4	Bachelor of Science in Accountancy
Female	Technology / Computing	Gaming	Middle income (₱43,828 -  ₱76,667 per month)	No	Yes	No access	College Graduate	College Undergraduate	STEM	75 - 79	Less than 3 hours	Private	Leadership / Student Government	Mathematics	No	4	4	2	3	3	2	Bachelor of Science in Industrial Engineering
Male	Undecided		Upper income (₱131,484 - ₱219,140 per month)	Yes	Yes	Limited access	Elementary	High School	GAS	80 - 84	6-10 hours	Public	Leadership / Student Government	Undecided	No	4	3	2	4	3	3	Bachelor of Science in Customs Administration
Male	Arts / Design / Creative Media	Drawing / Design	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Limited access	College Undergraduate	College Undergraduate	Arts & Design	90 - 94	6-10 hours	Science High School	Arts / Music	Arts	Yes	4	4	4	5	5	5	Bachelor of Arts in Psychology
Male	Business / Finance	Entrepreneurship	Poor (Below ₱10,957 per month)	Yes	No	Limited access	College Undergraduate	High School	ABM	85 - 89	3-5 hours	Private	Leadership / Student Government	Business / Accounting	No	4	3	4	2	4	3	Bachelor of Science in Business Administration major in Marketing Management
Female	Technology / Computing	Coding / Programming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Limited access	Elementary	College Undergraduate	STEM	75 - 79	Less than 3 hours	Science High School	Competitions	Science	No	2	4	3	4	2	2	Bachelor of Science in Industrial Engineering
Male	Technology / Computing	Gaming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Strong and consistent access	High School	High School	STEM	85 - 89	3-5 hours	Private	Competitions	Mathematics	No	3	2	3	4	3	4	Bachelor of Science in Industrial Engineering
Male	Technology / Computing	Coding / Programming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Average/intermittent access	College Undergraduate	College Graduate	STEM	85 - 89	6-10 hours	Science High School		Mathematics	No	4	2	4	3	4	3	Bachelor of Science in Computer Engineering
Female	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Strong and consistent access	College Graduate	College Undergraduate	ABM	Below 75	Less than 3 hours	Technical / Vocational High School	Competitions	Business / Accounting	No	4	4	4	2	4	3	Bachelor of Science in Business Administration major in Operations Management
Female	Education / Teaching	Writing / Reading	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Strong and consistent access	College Graduate	High School	HUMSS	80 - 84	6-10 hours	Science High School	Volunteer Work	Social Science	No	3	2	2	2	3	2	Bachelor of Secondary Education major in Filipino
Male	Education / Teaching	Writing / Reading	Lower-middle income (₱21,914 - ₱43,828 per month)	No	Yes	Strong and consistent access	Elementary	College Graduate	HUMSS	90 - 94	11-15 hours	Science High School	Arts / Music	Social Science	Yes	4	5	4	5	5	4	Bachelor of Physical Education
Male	Business / Finance	Entrepreneurship	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	Yes	Average/intermittent access	College Graduate	High School	ABM	90 - 94	11-15 hours	Private	Volunteer Work	Business / Accounting	Yes	4	4	5	4	4	5	Bachelor of Science in Business Administration major in Operations Management
Male	Undecided		Low income (₱10,957 - ₱21,914 per month)	No	Yes	Limited access	College Undergraduate	College Undergraduate	GAS	80 - 84	Less than 3 hours	Public		Undecided	No	3	2	3	2	3	2	Bachelor of Science in Customs Administration
Female	Arts / Design / Creative Media	Music	Low income (₱10,957 - ₱21,914 per month)	No	Yes	Strong and consistent access	Elementary	High School	Arts & Design	85 - 89	6-10 hours	Science High School	Leadership / Student Government	Arts	No	4	4	2	2	4	3	Bachelor of Arts in Psychology
Female	Technology / Computing	Coding / Programming	Low income (₱10,957 - ₱21,914 per month)	No	Yes	Limited access	High School	Elementary	STEM	80 - 84	3-5 hours	Science High School	Arts / Music	ICT / Computer Studies	No	4	3	2	2	3	2	Bachelor of Science in Electrical Engineering
Male	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	No access	College Undergraduate	College Undergraduate	STEM	75 - 79	Less than 3 hours	Private	Competitions	Mathematics	No	4	2	3	4	2	2	Bachelor of Science in Electrical Engineering
Female	Education / Teaching	Social activities / Volunteering	Poor (Below ₱10,957 per month)	No	Yes	Strong and consistent access	Elementary	Elementary	HUMSS	90 - 94	6-10 hours	Private	Sports	Social Science	Yes	5	5	5	5	5	5	Bachelor of Secondary Education major in Social Studies
Male	Technology / Computing	Gaming	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Strong and consistent access	College Undergraduate	High School	STEM	85 - 89	3-5 hours	Public	Volunteer Work	ICT / Computer Studies	No	4	2	2	3	2	4	Bachelor of Science in Computer Engineering
Female	Undecided		Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	Strong and consistent access	College Undergraduate	College Graduate	GAS	85 - 89	6-10 hours	Science High School	Arts / Music	Undecided	No	2	2	3	4	4	3	Bachelor of Science in Customs Administration
Female	Education / Teaching	Writing / Reading	Rich (Above ₱219,140 per month)	Yes	No	Strong and consistent access	Elementary	Elementary	HUMSS	80 - 84	6-10 hours	Private	Arts / Music	English / Communication	No	2	2	3	4	4	2	Bachelor of Elementary Education
Female	Technology / Computing	Gaming	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	Strong and consistent access	College Undergraduate	College Undergraduate	STEM	90 - 94	3-5 hours	Public	Leadership / Student Government	Mathematics	Yes	4	4	4	5	5	5	Bachelor of Science in Information Technology
Female	Education / Teaching	Writing / Reading	Rich (Above ₱219,140 per month)	Yes	No	Strong and consistent access	College Undergraduate	College Graduate	HUMSS	90 - 94	11-15 hours	Private	Sports	English / Communication	Yes	4	4	5	4	4	5	Bachelor of Secondary Education major in Filipino
Female	Undecided		Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Strong and consistent access	College Graduate	College Graduate	GAS	85 - 89	3-5 hours	Public	Arts / Music	Undecided	No	3	2	2	4	3	4	Bachelor of Science in Customs Administration
Male	Education / Teaching	Social activities / Volunteering	Low income (₱10,957 - ₱21,914 per month)	No	No	Limited access	College Undergraduate	College Undergraduate	HUMSS	90 - 94	11-15 hours	Technical / Vocational High School	Sports	Social Science	Yes	4	5	5	5	4	5	Bachelor of Elementary Education
Female	Education / Teaching	Writing / Reading	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Average/intermittent access	Elementary	College Undergraduate	HUMSS	80 - 84	6-10 hours	Public	Leadership / Student Government	English / Communication	No	4	2	3	3	4	2	Bachelor of Secondary Education major in English
Female	Arts / Design / Creative Media	Drawing / Design	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Limited access	Elementary	Elementary	Arts & Design	85 - 89	3-5 hours	Technical / Vocational High School	Leadership / Student Government	Arts	No	3	2	2	3	2	3	Bachelor of Performing Arts
Male	Arts / Design / Creative Media	Drawing / Design	Rich (Above ₱219,140 per month)	Yes	Yes	Strong and consistent access	High School	Elementary	Arts & Design	95 - 100	11-15 hours	Private	Arts / Music	Arts	Yes	4	5	4	5	5	5	Bachelor of Arts in English Language
Male	Education / Teaching	Social activities / Volunteering	Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	Average/intermittent access	High School	College Undergraduate	HUMSS	85 - 89	6-10 hours	Public	Arts / Music	Social Science	No	2	4	4	2	2	3	Bachelor of Elementary Education
Male	Undecided		Low income (₱10,957 - ₱21,914 per month)	No	No	Average/intermittent access	College Graduate	College Graduate	GAS	90 - 94	More than 15 hours	Public	Arts / Music	Undecided	No	3	2	3	3	4	3	Bachelor of Science in Criminology
Male	Education / Teaching	Writing / Reading	Low income (₱10,957 - ₱21,914 per month)	Yes	Yes	Strong and consistent access	Elementary	College Undergraduate	HUMSS	80 - 84	3-5 hours	Science High School	Arts / Music	English / Communication	No	4	4	3	4	3	3	Bachelor of Secondary Education major in Mathematics
Male	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Strong and consistent access	Elementary	Elementary	STEM	90 - 94	6-10 hours	Technical / Vocational High School		ICT / Computer Studies	Yes	4	4	5	4	5	5	Bachelor of Science in Computer Engineering
Male	Business / Finance	Entrepreneurship	Low income (₱10,957 - ₱21,914 per month)	No	Yes	Strong and consistent access	High School	Elementary	ABM	95 - 100	More than 15 hours	Public		Business / Accounting	Yes	5	5	4	5	5	5	Bachelor of Science in Business Administration major in Marketing Management
Female	Technology / Computing	Coding / Programming	Low income (₱10,957 - ₱21,914 per month)	No	No	Strong and consistent access	Elementary	Elementary	STEM	95 - 100	11-15 hours	Technical / Vocational High School		Science	Yes	5	5	5	5	5	5	Bachelor of Science in Computer Science
Male	Technology / Computing	Gaming	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Average/intermittent access	Elementary	College Undergraduate	STEM	80 - 84	6-10 hours	Public	Arts / Music	ICT / Computer Studies	No	4	2	3	3	3	4	Bachelor of Science in Computer Science
Female	Technology / Computing	Gaming	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Average/intermittent access	College Undergraduate	College Undergraduate	STEM	85 - 89	6-10 hours	Science High School	Sports	Mathematics	No	2	4	2	2	4	3	Bachelor of Science in Computer Science
Female	Technology / Computing	Gaming	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Strong and consistent access	High School	College Graduate	STEM	80 - 84	3-5 hours	Science High School	Volunteer Work	Mathematics	No	4	4	4	3	2	2	Bachelor of Science in Computer Science
Female	Technology / Computing	Gaming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Average/intermittent access	Elementary	College Undergraduate	STEM	90 - 94	11-15 hours	Technical / Vocational High School	Leadership / Student Government	ICT / Computer Studies	No	2	2	4	4	3	2	Bachelor of Science in Computer Science
Female	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Limited access	Elementary	High School	ABM	90 - 94	11-15 hours	Private	Volunteer Work	Business / Accounting	Yes	4	5	4	5	4	5	Bachelor of Science in Business Administration major in Human Resource Management
Male	Arts / Design / Creative Media	Drawing / Design	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Strong and consistent access	College Graduate	College Graduate	Arts & Design	90 - 94	11-15 hours	Public	Academic Clubs	Arts	Yes	5	4	5	4	4	5	Bachelor of Arts in Political Science
Male	Social Sciences / Psychology	Writing / Reading	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Average/intermittent access	High School	College Undergraduate	HUMSS	85 - 89	6-10 hours	Science High School	Leadership / Student Government	English / Communication	No	3	2	2	4	3	4	Bachelor of Science in Social Work
Male	Technology / Computing	Gaming	Poor (Below ₱10,957 per month)	Yes	Yes	Strong and consistent access	College Undergraduate	Elementary	STEM	90 - 94	11-15 hours	Technical / Vocational High School	Arts / Music	ICT / Computer Studies	Yes	4	5	5	4	4	4	Bachelor of Science in Industrial Engineering
Female	Arts / Design / Creative Media	Drawing / Design	Poor (Below ₱10,957 per month)	No	Yes	Limited access	College Undergraduate	College Undergraduate	Arts & Design	95 - 100	More than 15 hours	Technical / Vocational High School	Volunteer Work	Arts	Yes	5	5	5	5	4	5	Bachelor of Performing Arts
Male	Undecided	Music	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	No access	College Graduate	College Undergraduate	GAS	90 - 94	6-10 hours	Private	Competitions	Undecided	No	2	2	4	2	2	2	Bachelor of Science in Criminology
Male	Undecided	Music	Low income (₱10,957 - ₱21,914 per month)	No	No	Average/intermittent access	College Graduate	College Undergraduate	GAS	85 - 89	More than 15 hours	Technical / Vocational High School	Sports	Undecided	No	2	2	2	3	3	3	Bachelor of Science in Criminology
Female	Undecided		Middle income (₱43,828 -  ₱76,667 per month)	No	Yes	Average/intermittent access	High School	High School	GAS	80 - 84	Less than 3 hours	Public	Academic Clubs	Undecided	No	3	3	3	3	3	4	Bachelor of Science in Criminology
Male	Undecided	Music	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	Strong and consistent access	College Undergraduate	Elementary	GAS	90 - 94	6-10 hours	Private	Leadership / Student Government	Undecided	Yes	5	4	5	5	4	5	Bachelor of Science in Real Estate Management
Female	Education / Teaching	Social activities / Volunteering	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Strong and consistent access	High School	Elementary	HUMSS	85 - 89	3-5 hours	Technical / Vocational High School	Sports	Social Science	No	4	2	2	4	3	3	Bachelor of Secondary Education major in Mathematics
Male	Technology / Computing	Gaming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Limited access	High School	Elementary	STEM	95 - 100	11-15 hours	Private	Academic Clubs	Mathematics	Yes	5	4	4	4	4	4	Bachelor of Science in Computer Engineering
Female	Business / Finance	Entrepreneurship	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	Average/intermittent access	High School	College Graduate	ABM	85 - 89	6-10 hours	Private	Leadership / Student Government	Business / Accounting	No	2	3	2	3	2	3	Bachelor of Science in Business Administration major in Financial Management
Female	Education / Teaching	Writing / Reading	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	Average/intermittent access	High School	Elementary	HUMSS	85 - 89	6-10 hours	Technical / Vocational High School	Competitions	English / Communication	No	2	2	2	3	3	4	Bachelor of Secondary Education major in Social Studies
Female	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Average/intermittent access	College Graduate	College Undergraduate	STEM	90 - 94	11-15 hours	Technical / Vocational High School	Academic Clubs	ICT / Computer Studies	No	3	2	3	2	3	2	Bachelor of Science in Civil Engineering
Female	Education / Teaching	Social activities / Volunteering	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Limited access	College Undergraduate	College Graduate	HUMSS	90 - 94	6-10 hours	Science High School	Sports	Social Science	Yes	5	4	5	4	5	4	Bachelor of Physical Education
Female	Undecided		Rich (Above ₱219,140 per month)	Yes	No	Strong and consistent access	College Undergraduate	Elementary	GAS	85 - 89	6-10 hours	Private	Volunteer Work	Undecided	No	3	4	2	3	3	2	Bachelor of Science in Hospitality Management
Male	Education / Teaching	Writing / Reading	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Limited access	College Graduate	High School	HUMSS	95 - 100	More than 15 hours	Science High School	Volunteer Work	Social Science	Yes	5	4	5	5	4	4	Bachelor of Secondary Education major in Mathematics
Male	Arts / Design / Creative Media	Music	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Strong and consistent access	Elementary	College Undergraduate	Arts & Design	90 - 94	6-10 hours	Science High School	Competitions	Arts	Yes	4	4	5	5	5	4	Bachelor of Arts in Political Science
Female	Technology / Computing	Coding / Programming	Rich (Above ₱219,140 per month)	No	No	Strong and consistent access	College Undergraduate	College Undergraduate	STEM	90 - 94	6-10 hours	Technical / Vocational High School		Mathematics	Yes	4	4	5	5	4	5	Bachelor of Science in Computer Science
Male	Technology / Computing	Coding / Programming	Upper income (₱131,484 - ₱219,140 per month)	No	No	Limited access	College Undergraduate	College Undergraduate	STEM	85 - 89	6-10 hours	Technical / Vocational High School	Academic Clubs	Science	No	3	4	2	4	3	3	Bachelor of Science in Electrical Engineering
Male	Business / Finance	Entrepreneurship	Poor (Below ₱10,957 per month)	No	No	Average/intermittent access	College Graduate	Elementary	ABM	90 - 94	More than 15 hours	Private	Competitions	Business / Accounting	Yes	5	4	5	4	4	5	Bachelor of Science in Accountancy
Female	Technology / Computing	Gaming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Strong and consistent access	College Graduate	Elementary	STEM	80 - 84	Less than 3 hours	Science High School	Arts / Music	Science	No	4	4	3	3	3	3	Bachelor of Science in Computer Engineering
Female	Technology / Computing	Coding / Programming	Low income (₱10,957 - ₱21,914 per month)	No	No	Average/intermittent access	College Graduate	College Graduate	STEM	90 - 94	6-10 hours	Technical / Vocational High School	Sports	Mathematics	Yes	5	5	4	4	4	5	Bachelor of Science in Civil Engineering
Male	Education / Teaching	Writing / Reading	Middle income (₱43,828 -  ₱76,667 per month)	Yes	Yes	Average/intermittent access	College Graduate	High School	HUMSS	90 - 94	6-10 hours	Private		English / Communication	No	4	2	4	3	3	2	Bachelor of Secondary Education major in English
Male	Technology / Computing	Coding / Programming	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Average/intermittent access	Elementary	College Undergraduate	STEM	80 - 84	6-10 hours	Public	Volunteer Work	Mathematics	No	2	3	4	3	3	2	Bachelor of Science in Civil Engineering
Female	Undecided	Music	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Strong and consistent access	Elementary	College Graduate	GAS	85 - 89	6-10 hours	Private	Sports	Undecided	No	3	2	4	2	4	3	Bachelor of Science in Customs Administration
Male	Education / Teaching	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Average/intermittent access	High School	High School	HUMSS	95 - 100	11-15 hours	Public	Competitions	English / Communication	Yes	4	4	4	5	4	4	Bachelor of Elementary Education
Male	Undecided		Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Strong and consistent access	College Undergraduate	High School	GAS	95 - 100	11-15 hours	Public	Volunteer Work	Undecided	Yes	4	4	5	4	4	5	Bachelor of Science in Customs Administration
Female	Education / Teaching	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Limited access	College Undergraduate	College Graduate	HUMSS	80 - 84	6-10 hours	Technical / Vocational High School	Arts / Music	English / Communication	No	2	2	2	3	3	4	Bachelor of Secondary Education major in Social Studies
Female	Business / Finance	Entrepreneurship	Poor (Below ₱10,957 per month)	No	Yes	Average/intermittent access	High School	College Undergraduate	ABM	80 - 84	Less than 3 hours	Technical / Vocational High School	Competitions	Business / Accounting	No	3	4	3	2	2	3	Bachelor of Science in Business Administration major in Marketing Management
Male	Education / Teaching	Social activities / Volunteering	Low income (₱10,957 - ₱21,914 per month)	Yes	No	Average/intermittent access	College Undergraduate	Elementary	HUMSS	95 - 100	11-15 hours	Technical / Vocational High School	Competitions	Social Science	Yes	4	4	4	5	5	5	Bachelor of Elementary Education
Female	Education / Teaching	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Limited access	College Graduate	College Undergraduate	HUMSS	80 - 84	3-5 hours	Public		Social Science	No	4	3	3	3	2	2	Bachelor of Secondary Education major in Filipino
Female	Education / Teaching	Social activities / Volunteering	Low income (₱10,957 - ₱21,914 per month)	No	No	Limited access	College Undergraduate	College Undergraduate	HUMSS	85 - 89	6-10 hours	Private	Leadership / Student Government	English / Communication	No	2	2	4	4	2	3	Bachelor of Physical Education
Male	Education / Teaching	Writing / Reading	Upper income (₱131,484 - ₱219,140 per month)	No	Yes	Limited access	High School	College Undergraduate	HUMSS	85 - 89	3-5 hours	Private	Sports	Social Science	No	2	4	3	3	4	2	Bachelor of Physical Education
Male	Undecided	Music	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	Average/intermittent access	College Graduate	High School	GAS	85 - 89	6-10 hours	Public	Competitions	Undecided	No	3	3	2	2	4	4	Bachelor of Science in Real Estate Management
Male	Arts / Design / Creative Media	Drawing / Design	Low income (₱10,957 - ₱21,914 per month)	Yes	Yes	Strong and consistent access	Elementary	High School	Arts & Design	75 - 79	Less than 3 hours	Science High School	Leadership / Student Government	Arts	No	3	4	4	2	3	3	Bachelor of Arts in Political Science
Male	Technology / Computing	Coding / Programming	Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	Average/intermittent access	College Graduate	Elementary	STEM	90 - 94	3-5 hours	Science High School		Mathematics	Yes	5	5	5	4	4	5	Bachelor of Science in Industrial Engineering
Male	Education / Teaching	Writing / Reading	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Limited access	High School	College Undergraduate	HUMSS	80 - 84	6-10 hours	Science High School	Arts / Music	English / Communication	No	4	2	3	2	3	4	Bachelor of Physical Education
Male	Technology / Computing	Gaming	Poor (Below ₱10,957 per month)	No	No	Strong and consistent access	High School	High School	STEM	90 - 94	More than 15 hours	Public	Volunteer Work	Mathematics	Yes	5	5	4	5	5	5	Bachelor of Science in Civil Engineering
Male	Technology / Computing	Coding / Programming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Strong and consistent access	Elementary	High School	STEM	85 - 89	3-5 hours	Science High School	Leadership / Student Government	ICT / Computer Studies	No	2	2	3	4	2	3	Bachelor of Science in Industrial Engineering
Female	Arts / Design / Creative Media	Drawing / Design	Low income (₱10,957 - ₱21,914 per month)	Yes	No	Strong and consistent access	High School	College Graduate	Arts & Design	80 - 84	6-10 hours	Technical / Vocational High School	Leadership / Student Government	Arts	No	4	2	3	4	4	4	Bachelor of Performing Arts
Male	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Average/intermittent access	High School	Elementary	ABM	Below 75	Less than 3 hours	Science High School		Business / Accounting	No	4	4	2	2	3	3	Bachelor of Science in Business Administration major in Financial Management
Female	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Limited access	College Undergraduate	College Graduate	STEM	85 - 89	6-10 hours	Technical / Vocational High School	Arts / Music	Science	No	3	3	2	4	3	3	Bachelor of Science in Computer Engineering
Male	Business / Finance	Entrepreneurship	Low income (₱10,957 - ₱21,914 per month)	Yes	No	Average/intermittent access	College Graduate	Elementary	ABM	85 - 89	6-10 hours	Science High School	Volunteer Work	Business / Accounting	No	2	2	3	2	4	4	Bachelor of Science in Business Administration major in Financial Management
Female	Undecided	Gaming	Low income (₱10,957 - ₱21,914 per month)	No	Yes	Average/intermittent access	High School	College Undergraduate	GAS	90 - 94	11-15 hours	Science High School	Sports	Undecided	Yes	4	5	5	5	5	4	Bachelor of Science in Real Estate Management
Female	Technology / Computing	Gaming	Poor (Below ₱10,957 per month)	Yes	No	Average/intermittent access	College Graduate	Elementary	STEM	90 - 94	11-15 hours	Science High School	Arts / Music	Mathematics	Yes	5	5	5	5	4	5	Bachelor of Science in Computer Science
Male	Arts / Design / Creative Media	Music	Poor (Below ₱10,957 per month)	No	No	Strong and consistent access	Elementary	College Graduate	Arts & Design	95 - 100	11-15 hours	Science High School	Competitions	Arts	Yes	4	5	4	4	4	5	Bachelor of Arts in English Language
Male	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Average/intermittent access	College Graduate	College Undergraduate	STEM	90 - 94	6-10 hours	Technical / Vocational High School	Academic Clubs	Science	Yes	5	5	4	5	5	5	Bachelor of Science in Mechanical Engineering
Female	Technology / Computing	Coding / Programming	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Strong and consistent access	College Graduate	High School	STEM	90 - 94	3-5 hours	Science High School	Arts / Music	ICT / Computer Studies	Yes	5	4	5	5	5	5	Bachelor of Science in Civil Engineering
Male	Technology / Computing	Coding / Programming	Poor (Below ₱10,957 per month)	Yes	No	Average/intermittent access	College Undergraduate	College Graduate	STEM	90 - 94	6-10 hours	Public	Arts / Music	Mathematics	No	3	3	4	4	3	2	Bachelor of Science in Mechanical Engineering
Female	Undecided	Gaming	Poor (Below ₱10,957 per month)	No	No	Limited access	High School	Elementary	GAS	85 - 89	6-10 hours	Science High School	Academic Clubs	Undecided	No	2	3	4	2	4	4	Bachelor of Science in Criminology
Male	Business / Finance	Entrepreneurship	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Strong and consistent access	College Graduate	High School	ABM	95 - 100	11-15 hours	Public	Academic Clubs	Business / Accounting	Yes	5	4	4	5	5	4	Bachelor of Science in Accountancy
Female	Technology / Computing	Coding / Programming	Poor (Below ₱10,957 per month)	Yes	No	Limited access	College Undergraduate	High School	STEM	80 - 84	6-10 hours	Science High School	Volunteer Work	ICT / Computer Studies	No	4	2	3	2	4	3	Bachelor of Science in Mechanical Engineering
Male	Business / Finance	Entrepreneurship	Low income (₱10,957 - ₱21,914 per month)	Yes	No	Strong and consistent access	High School	College Undergraduate	ABM	90 - 94	6-10 hours	Public	Volunteer Work	Business / Accounting	Yes	5	4	5	5	5	4	Bachelor of Science in Accountancy
Male	Technology / Computing	Gaming	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Limited access	High School	High School	STEM	90 - 94	3-5 hours	Science High School	Arts / Music	Science	Yes	5	5	5	5	5	5	Bachelor of Science in Electrical Engineering
Male	Education / Teaching	Writing / Reading	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	No	Strong and consistent access	College Graduate	College Undergraduate	HUMSS	95 - 100	11-15 hours	Private	Leadership / Student Government	English / Communication	Yes	5	4	4	4	5	4	Bachelor of Secondary Education major in Filipino
Female	Arts / Design / Creative Media	Music	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	Strong and consistent access	College Undergraduate	College Undergraduate	Arts & Design	95 - 100	11-15 hours	Public	Competitions	Arts	Yes	5	5	4	4	5	4	Bachelor of Arts in English Language
Male	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Average/intermittent access	High School	College Undergraduate	STEM	90 - 94	11-15 hours	Science High School	Academic Clubs	ICT / Computer Studies	Yes	4	5	5	5	4	4	Bachelor of Science in Computer Engineering
Male	Education / Teaching	Writing / Reading	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Strong and consistent access	College Undergraduate	High School	HUMSS	90 - 94	6-10 hours	Science High School	Academic Clubs	Social Science	Yes	4	5	5	5	5	5	Bachelor of Secondary Education major in Mathematics
